Feature	Gain	Cover	Frequency
mtarjeta_visa_consumo_max6	0.00395848893163683	0.00294951802280273	0.00256410256410256
Visa_mpagospesos	0.00393206953648118	0.0227304747963512	0.0102564102564103
ctarjeta_visa	0.00387452608102588	0.00639211435997443	0.00512820512820513
mactivos_margen	0.0037724504478558	0.0106573950093603	0.0217948717948718
cproductos_ratiomax6	0.00369230398887638	0.00595298916832592	0.0141025641025641
rf_029_004	0.00347352949533945	0.0153563974733809	0.00384615384615385
rf_030_013	0.00333826024971209	0.00130310098193877	0.00256410256410256
Master_msaldototal	0.00330105098333303	0.0138776464147827	0.00897435897435897
mpayroll	0.00320505684058149	0.00407301720459435	0.00384615384615385
cdescubierto_preacordado	0.00312254110242407	0.00523756592220766	0.0115384615384615
mprestamos_hipotecarios_max6	0.00294705814606219	0.00197158743071278	0.00512820512820513
rf_044_007	0.00285840856125298	0.00194392536629856	0.00128205128205128
rf_050_012	0.0027402517518274	0.00264362236588395	0.00128205128205128
rf_015_004	0.00266124577016704	0.00604823376912241	0.00128205128205128
mcuentas_saldo_ratioavg6	0.00263549116792858	0.00436528344785132	0.0102564102564103
cdescubierto_preacordado_delta1	0.00258758480656468	0.0114325779923035	0.00769230769230769
mcuenta_corriente_tend6	0.00248986622471954	0.00387793110016869	0.00256410256410256
rf_027_015	0.00248241326525359	0.0110117597645676	0.00256410256410256
ctarjeta_visa_transacciones_ratiomax6	0.0024520582403376	0.00429447501474436	0.00769230769230769
ccomisiones_mantenimiento_lag2	0.00225787673945315	0.00656082875867575	0.00769230769230769
rf_012_005	0.00223496649777561	0.00353066331775575	0.00512820512820513
rf_041_015	0.00223012173714158	0.00387026959544755	0.00512820512820513
mactivos_margen_avg6	0.00220569909734158	0.0057473382521269	0.0115384615384615
cproductos_ratioavg6	0.00206586326017318	0.00579016203114716	0.0102564102564103
rf_007_006	0.00205189721721336	0.00358130989633339	0.00641025641025641
mtransferencias_recibidas	0.00196740498691048	0.00546079797555625	0.00769230769230769
kmes_lag2	0.00194945956871289	0.00308532827491221	0.00897435897435897
cdescubierto_preacordado_tend6	0.00191229117460333	0.00754392078552521	0.00641025641025641
rf_029_014	0.00188606491400126	0.00619388300624219	0.00384615384615385
rf_012_015	0.00182851533967723	0.00611178393459882	0.00128205128205128
rf_013_015	0.00179604126184241	0.00984108184317738	0.00256410256410256
mactivos_margen_max6	0.00173797935197963	0.0022594180659733	0.00769230769230769
rf_050_006	0.00168666896639665	0.00550829930482732	0.00256410256410256
mcaja_ahorro_max6	0.00168442680893341	0.00692269372376792	0.00641025641025641
cproductos	0.00164893033806153	0.00817361582618481	0.00641025641025641
ccaja_ahorro	0.00164794289453608	0.0071164894695037	0.00897435897435897
mpayroll_ratiomax6	0.00161871270391824	0.00199416870778561	0.00384615384615385
rf_038_015	0.00159208409665973	0.00209562315977713	0.00128205128205128
internet_avg6	0.00157731892944438	0.0046926313179893	0.00384615384615385
mrentabilidad_annual_max6	0.00155318010760606	0.00284870875015615	0.0102564102564103
rf_050_011	0.00150604664804143	0.000958413916905578	0.00256410256410256
rf_011_008	0.00147552308819772	0.00277733578512237	0.00384615384615385
mcaja_ahorro_dolares_delta1	0.00143677117520168	0.00339461112339192	0.00641025641025641
cpayroll_trx_max6	0.0014244091094329	0.00103301277866405	0.00384615384615385
cproductos_delta2	0.00140787237896683	0.00255845869235212	0.00512820512820513
mrentabilidad_annual	0.00140577254284297	0.0011878558214492	0.00769230769230769
Visa_status	0.00137721340589786	0.0107206225851643	0.00512820512820513
cdescubierto_preacordado_min6	0.00135534921586665	0.00288177419158423	0.00384615384615385
ctarjeta_visa_transacciones	0.00134558988628755	0.00347283911896567	0.00384615384615385
mcuenta_corriente_ratioavg6	0.00130341293208856	0.00097131750380434	0.00256410256410256
mactivos_margen_min6	0.0012881974072671	0.00201086272333589	0.00641025641025641
rf_040_011	0.00120408189531541	0.00223490125086565	0.00512820512820513
mcaja_ahorro_ratioavg6	0.00119892241199867	0.00231514543189233	0.00256410256410256
